name,uri,id
Ravi,spotify:playlist:5PaCWDSkj0QRgwyoocSew8,5PaCWDSkj0QRgwyoocSew8
Cinco Demarco,spotify:playlist:5U5zv489qHwt4oUsNg6bnh,5U5zv489qHwt4oUsNg6bnh
1oo1,spotify:playlist:2T2XGaTDIx6odNm9RRg3Fo,2T2XGaTDIx6odNm9RRg3Fo
Take My Breath Away – Berlin,spotify:playlist:4HKRg8Mdom3DDsFyKxteTw,4HKRg8Mdom3DDsFyKxteTw
Dancing by Myself,spotify:playlist:7xBRqiTwQFpxy07LLbksca,7xBRqiTwQFpxy07LLbksca
Woodsist,spotify:playlist:5VPTMJanJOtUAeQEEvXLjn,5VPTMJanJOtUAeQEEvXLjn
Something *Unexpected*,spotify:playlist:2xAX5DSvgMBk81KYNI36vk,2xAX5DSvgMBk81KYNI36vk
Disco Funk,spotify:playlist:1rqbpTQMcv6re4HJ2XU0MF,1rqbpTQMcv6re4HJ2XU0MF
Drums & Bass,spotify:playlist:3xYksYCMnxVaNqwPhw04R8,3xYksYCMnxVaNqwPhw04R8
Pan flute,spotify:playlist:1ERgQ1nSUjiTBw0vID5lE7,1ERgQ1nSUjiTBw0vID5lE7
Sax,spotify:playlist:4lR3RkSyaYpQVzzGKSARZa,4lR3RkSyaYpQVzzGKSARZa
Interludes,spotify:playlist:0cWeoHpFGanfRem1UqMKr8,0cWeoHpFGanfRem1UqMKr8
JC,spotify:playlist:25yEopYYV7iYZok5E3Vf3y,25yEopYYV7iYZok5E3Vf3y
AZ,spotify:playlist:4PzJMqZdnWH3WW8KJg23wQ,4PzJMqZdnWH3WW8KJg23wQ
Best Albums of 1977,spotify:playlist:3dbwuE5K67t4odHq1o5Wzv,3dbwuE5K67t4odHq1o5Wzv
CoS Best Debut Hip Hop Albums,spotify:playlist:48vFYGaEOrbZdpWrZkXtJR,48vFYGaEOrbZdpWrZkXtJR
Live Favourites,spotify:playlist:71EY3wgtTthHYYfT0llcYQ,71EY3wgtTthHYYfT0llcYQ
Blonded,spotify:playlist:6HEegfWHhUcytwQFAm1QbK,6HEegfWHhUcytwQFAm1QbK
shazammed,spotify:playlist:1IqYbqz7mvUGT29aaJftmI,1IqYbqz7mvUGT29aaJftmI
2020 July,spotify:playlist:5ckukg1ucpbnjcy12yJz0h,5ckukg1ucpbnjcy12yJz0h
Playlist 2020630,spotify:playlist:1P8iQHFy4DtHhWY2qrzc0Q,1P8iQHFy4DtHhWY2qrzc0Q
Playlist 2020630,spotify:playlist:1AJPYa9gMkf7VdELkdyFR9,1AJPYa9gMkf7VdELkdyFR9
New Playlist 2020630,spotify:playlist:2Gzd3vSgPU3LkDIFVXSush,2Gzd3vSgPU3LkDIFVXSush
New Playlist 2020630,spotify:playlist:5eqxc99XmwPYnE018dPOVO,5eqxc99XmwPYnE018dPOVO
2020 07 N2MG@O,spotify:playlist:4IIrfppDcvmaNnJlYwnN98,4IIrfppDcvmaNnJlYwnN98
2020 July auto,spotify:playlist:2TuYNad2mrPv2PqvhQobv0,2TuYNad2mrPv2PqvhQobv0
2020 May auto,spotify:playlist:55Wqb37P2ncdk3xgUzAj2t,55Wqb37P2ncdk3xgUzAj2t
2020 June auto,spotify:playlist:6fDWiGfNzHBZseywtUs1lG,6fDWiGfNzHBZseywtUs1lG
2020 April auto,spotify:playlist:3pXNOca2YJZ86zzB0UymnZ,3pXNOca2YJZ86zzB0UymnZ
2020 February auto,spotify:playlist:3nAbbpoUdrEzch3rikzzOT,3nAbbpoUdrEzch3rikzzOT
2020 January auto,spotify:playlist:6Luh1josnBcQYMKnAGVR0d,6Luh1josnBcQYMKnAGVR0d
2019 December auto,spotify:playlist:5sb9qzPkb79nmWYCfLmc5Q,5sb9qzPkb79nmWYCfLmc5Q
2019 October auto,spotify:playlist:7DemzKkkVrlSEcpwKN29pv,7DemzKkkVrlSEcpwKN29pv
2019 August auto,spotify:playlist:5LOICFeToCEnjU1NblfRnU,5LOICFeToCEnjU1NblfRnU
2019 July auto,spotify:playlist:4ltaE1ITfA5if2oWv5Weuu,4ltaE1ITfA5if2oWv5Weuu
2019 November auto,spotify:playlist:5fa43RrTNqoKSkin1zeyat,5fa43RrTNqoKSkin1zeyat
2019 September auto,spotify:playlist:1lewVzFJIJxYvQAyMOj5TR,1lewVzFJIJxYvQAyMOj5TR
2020 March auto,spotify:playlist:4vDOTiaafUaWHtCbwjAFkW,4vDOTiaafUaWHtCbwjAFkW
2020 May auto extension,spotify:playlist:1YUotEkDnvYnUYLwUPAiVq,1YUotEkDnvYnUYLwUPAiVq
2020 June auto extension,spotify:playlist:6Vtv0INH4KfoTjFLTaxUmI,6Vtv0INH4KfoTjFLTaxUmI
2020 April auto extension,spotify:playlist:0aovLv8bJ16clzhjvtwZ3k,0aovLv8bJ16clzhjvtwZ3k
Playlist 2020711,spotify:playlist:3xfkn7gGnQCV4w8GvbrM65,3xfkn7gGnQCV4w8GvbrM65
